id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
11902,Pietro Comuzzo,8,86.0,0,0.01,0,0.0,1,0,1,0,D,Fiorentina,0,0.01
11945,Ylber Ramadani,10,85.3,0,0.3,1,0.6,8,10,1,0,M,Lecce,0,0.3
11946,Mohamed Kaba,1,12.0,0,0.0,0,0.0,0,0,0,0,S,Lecce,0,0.0
11955,Alberto Dossena,8,87.12,0,0.37,1,0.66,7,1,0,0,D,Como,0,0.37
11956,Paulo Azzi,6,72.83,0,0.66,0,0.8,8,5,2,0,D S,Cagliari,0,0.66
11957,Antoine Makoumbou,6,52.83,0,0.05,0,0.0,2,0,0,1,M S,Cagliari,0,0.05
11959,Matteo Prati,5,48.8,0,0.0,0,0.35,0,3,1,0,M S,Cagliari,0,0.0
11961,Sam Beukema,9,84.78,0,0.27,1,0.91,5,4,0,0,D S,Bologna,0,0.27
11965,Tijjani Reijnders,8,69.0,0,0.43,1,0.81,11,6,1,1,M S,AC Milan,0,0.43
11967,Davide Bartesaghi,1,5.0,0,0.0,0,0.0,0,0,0,1,S,AC Milan,0,0.0
11968,Kevin Zeroli,1,9.0,0,0.0,0,0.0,0,0,0,0,S,AC Milan,0,0.0
11989,Walid Cheddira,1,5.0,0,0.0,0,0.06,0,1,0,0,S,Napoli,0,0.0
12006,Jesper Karlsson,4,29.75,0,0.03,0,0.09,1,1,0,0,F S,Bologna,0,0.03
12012,Marcus Pedersen,4,51.25,0,0.0,0,0.07,0,2,1,0,D S,Torino,0,0.0
12040,Thomas Thiesson Kristensen,3,61.67,0,0.0,0,0.0,0,0,1,0,D S,Udinese,0,0.0
12078,Alan Matturro,3,66.33,0,0.0,0,0.12,0,1,0,0,D S,Genoa,0,0.0
12084,Martín Payero,7,56.71,0,0.46,0,0.21,8,4,2,0,M S,Udinese,0,0.46
12095,Tomás Suslov,7,59.43,0,0.25,0,0.61,6,5,1,1,F M S,Verona,0,0.25
12218,Francesco Camarda,1,2.0,0,0.0,0,0.0,0,0,0,0,S,AC Milan,0,0.0
12252,Alberto Manzoni,1,1.0,0,0.03,0,0.0,1,0,0,0,S,Atalanta,0,0.03
12334,Kingstone Mutandwa,2,17.5,0,0.13,0,0.0,3,0,0,0,S,Cagliari,0,0.13
12340,Omari Forson,2,10.0,0,0.0,0,0.0,0,0,0,0,S,Monza,0,0.0
12356,Saba Goglichidze,8,81.12,0,0.0,0,0.02,0,1,0,1,D,Empoli,0,0.0
12362,Santiago Pierotti,9,27.67,0,0.31,0,0.38,7,4,1,0,M S,Lecce,0,0.31
12380,Dani Silva,7,40.57,0,0.03,0,0.06,2,2,0,0,M S,Verona,0,0.03
12440,David Ankeye,4,9.5,0,0.0,0,0.0,0,0,0,0,S,Genoa,0,0.0
12777,Patrizio Masini,1,24.0,0,0.0,0,0.0,0,0,0,0,S,Genoa,0,0.0
12778,Federico Accornero,1,1.0,0,0.0,0,0.0,0,0,0,0,S,Genoa,0,0.0
12779,Honest Ahanor,1,71.0,0,0.0,0,0.0,0,0,0,0,D,Genoa,0,0.0
12780,Mehdi Taremi,8,23.5,0,1.05,1,0.62,4,2,0,0,F S,Inter,0,1.05
12781,Zion Suzuki,9,88.78,0,0.0,0,0.0,0,0,0,1,GK,Parma Calcio 1913,0,0.0
12782,Woyo Coulibaly,9,80.56,0,0.09,1,1.25,2,6,1,1,D S,Parma Calcio 1913,0,0.09
12783,Alessandro Circati,4,90.0,0,0.0,0,0.0,0,0,1,0,D,Parma Calcio 1913,0,0.0
